emoji,emoji_name,emoji_status,source,load_datetime
🥇,:1st_place_medal:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🥈,:2nd_place_medal:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🥉,:3rd_place_medal:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🆎,:AB_button_(blood_type):,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🏧,:ATM_sign:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🅰️,:A_button_(blood_type):,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🅰,:A_button_(blood_type):,unqualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇫,:Afghanistan:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇱,:Albania:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇩🇿,:Algeria:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇸,:American_Samoa:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇩,:Andorra:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇴,:Angola:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇮,:Anguilla:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇶,:Antarctica:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇬,:Antigua_&_Barbuda:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
♒,:Aquarius:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇷,:Argentina:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
♈,:Aries:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇲,:Armenia:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇼,:Aruba:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇨,:Ascension_Island:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇺,:Australia:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇹,:Austria:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🇦🇿,:Azerbaijan:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🔙,:BACK_arrow:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🅱️,:B_button_(blood_type):,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
🅱,:B_button_(blood_type):,unqualified,2,2023-06-08 12:04:07.045541+00:00
🇧🇸,:Bahamas:,fully_qualified,2,2023-06-08 12:04:07.045541+00:00
